trade_dt,fs_info_type,positions,num_cont
20140127,2,3400.0,1.0
20140127,3,3763.0,1.0
20140128,2,3445.0,1.0
20140128,3,3759.0,1.0
20140129,2,3581.0,1.0
20140129,3,3933.0,1.0
20140130,2,3565.0,1.0
20140130,3,3851.0,1.0
20140207,2,3604.0,1.0
20140207,3,3932.0,1.0
20140210,2,3659.0,1.0
20140210,3,3948.0,1.0
20140211,2,3346.0,1.0
20140211,3,3654.0,1.0
20140212,2,3169.0,1.0
20140212,3,3399.0,1.0
20140213,2,3112.0,1.0
20140213,3,3275.0,1.0
20140214,2,2968.0,1.0
20140214,3,3185.0,1.0
20140217,2,2816.0,1.0
20140217,3,3005.0,1.0
20140218,2,2332.0,1.0
20140218,3,2502.0,1.0
20140219,2,2067.0,1.0
20140219,3,2222.0,1.0
20140220,2,1645.0,1.0
20140220,3,1797.0,1.0
20140221,2,1258.0,1.0
20140221,3,1362.0,1.0
20140224,2,1098.0,1.0
20140224,3,1191.0,1.0
20140225,2,928.0,1.0
20140225,3,977.0,1.0
20140226,2,760.0,1.0
20140226,3,779.0,1.0
20140227,2,622.0,1.0
20140227,3,637.0,1.0
20140228,2,548.0,1.0
20140228,3,555.0,1.0
20140303,2,529.0,1.0
20140303,3,529.0,1.0
20140304,2,450.0,1.0
20140304,3,450.0,1.0
20140305,2,384.0,1.0
20140305,3,384.0,1.0
20140306,2,340.0,1.0
20140306,3,340.0,1.0
20140307,2,336.0,1.0
20140307,3,336.0,1.0
20140310,2,289.0,1.0
20140310,3,289.0,1.0
20140311,2,282.0,1.0
20140311,3,282.0,1.0
20140312,2,277.0,1.0
20140312,3,277.0,1.0
20140313,2,270.0,1.0
20140313,3,270.0,1.0
20140314,2,0.0,1.0
20140314,3,0.0,1.0
20140317,2,4068.0,1.0
20140317,3,4522.0,1.0
20140318,2,4193.0,1.0
20140318,3,4607.0,1.0
20140319,2,4269.0,1.0
20140319,3,4746.0,1.0
20140320,2,4272.0,1.0
20140320,3,4785.0,1.0
20140321,2,4252.0,1.0
20140321,3,4788.0,1.0
20140324,2,4259.0,1.0
20140324,3,4766.0,1.0
20140325,2,4227.0,1.0
20140325,3,4729.0,1.0
20140326,2,4141.0,1.0
20140326,3,4678.0,1.0
20140327,2,4085.0,1.0
20140327,3,4604.0,1.0
20140328,2,4057.0,1.0
20140328,3,4539.0,1.0
20140331,2,3958.0,1.0
20140331,3,4407.0,1.0
20140401,2,4067.0,1.0
20140401,3,4360.0,1.0
20140402,2,4151.0,1.0
20140402,3,4379.0,1.0
20140403,2,4303.0,1.0
20140403,3,4621.0,1.0
20140404,2,4252.0,1.0
20140404,3,4522.0,1.0
20140408,2,4236.0,1.0
20140408,3,4561.0,1.0
20140409,2,4176.0,1.0
20140409,3,4494.0,1.0
20140410,2,4087.0,1.0
20140410,3,4408.0,1.0
20140411,2,3957.0,1.0
20140411,3,4157.0,1.0
20140414,2,4003.0,1.0
20140414,3,4209.0,1.0
20140415,2,4016.0,1.0
20140415,3,4184.0,1.0
20140416,2,3836.0,1.0
20140416,3,3991.0,1.0
20140417,2,3405.0,1.0
20140417,3,3512.0,1.0
20140418,2,3330.0,1.0
20140418,3,3487.0,1.0
20140421,2,3372.0,1.0
20140421,3,3528.0,1.0
20140422,2,3493.0,1.0
20140422,3,3624.0,1.0
20140423,2,3367.0,1.0
20140423,3,3563.0,1.0
20140424,2,3336.0,1.0
20140424,3,3517.0,1.0
20140425,2,3248.0,1.0
20140425,3,3446.0,1.0
20140428,2,3037.0,1.0
20140428,3,3241.0,1.0
20140429,2,3052.0,1.0
20140429,3,3277.0,1.0
20140430,2,3037.0,1.0
20140430,3,3206.0,1.0
20140505,2,3011.0,1.0
20140505,3,3153.0,1.0
20140506,2,3108.0,1.0
20140506,3,3167.0,1.0
20140507,2,3082.0,1.0
20140507,3,3146.0,1.0
20140508,2,2959.0,1.0
20140508,3,3037.0,1.0
20140509,2,2667.0,1.0
20140509,3,2762.0,1.0
20140512,2,2469.0,1.0
20140512,3,2522.0,1.0
20140513,2,2335.0,1.0
20140513,3,2354.0,1.0
20140514,2,1849.0,1.0
20140514,3,1905.0,1.0
20140515,2,1593.0,1.0
20140515,3,1696.0,1.0
20140516,2,1400.0,1.0
20140516,3,1512.0,1.0
20140519,2,1032.0,1.0
20140519,3,1104.0,1.0
20140520,2,839.0,1.0
20140520,3,910.0,1.0
20140521,2,718.0,1.0
20140521,3,758.0,1.0
20140522,2,594.0,1.0
20140522,3,615.0,1.0
20140523,2,535.0,1.0
20140523,3,553.0,1.0
20140526,2,426.0,1.0
20140526,3,430.0,1.0
20140527,2,359.0,1.0
20140527,3,360.0,1.0
20140528,2,283.0,1.0
20140528,3,283.0,1.0
20140529,2,259.0,1.0
20140529,3,258.0,1.0
20140530,2,204.0,1.0
20140530,3,204.0,1.0
20140603,2,179.0,1.0
20140603,3,179.0,1.0
20140604,2,149.0,1.0
20140604,3,149.0,1.0
20140605,2,108.0,1.0
20140605,3,108.0,1.0
20140606,2,101.0,1.0
20140606,3,101.0,1.0
20140609,2,95.0,1.0
20140609,3,95.0,1.0
20140610,2,89.0,1.0
20140610,3,89.0,1.0
20140611,2,86.0,1.0
20140611,3,86.0,1.0
20140612,2,68.0,1.0
20140612,3,68.0,1.0
20140613,2,0.0,1.0
20140613,3,0.0,1.0
20140616,2,6392.0,1.0
20140616,3,7278.0,1.0
