trade_dt,fs_info_type,positions,num_cont
20150731,3,17031.0,1.0
20150803,2,14356.0,1.0
20150803,3,15591.0,1.0
20150804,2,14233.0,1.0
20150804,3,15362.0,1.0
20150805,2,13794.0,1.0
20150805,3,14957.0,1.0
20150806,2,13578.0,1.0
20150806,3,14607.0,1.0
20150807,2,12941.0,1.0
20150807,3,13922.0,1.0
20150810,2,21721.0,2.0
20150810,3,23142.0,2.0
20150811,2,21052.0,2.0
20150811,3,22625.0,2.0
20150812,2,20972.0,2.0
20150812,3,22403.0,2.0
20150813,2,20987.0,2.0
20150813,3,22580.0,2.0
20150814,2,21144.0,2.0
20150814,3,22621.0,2.0
20150817,2,20258.0,2.0
20150817,3,21647.0,2.0
20150818,2,19134.0,2.0
20150818,3,20673.0,2.0
20150819,2,18775.0,2.0
20150819,3,19935.0,2.0
20150820,2,17865.0,2.0
20150820,3,18927.0,2.0
20150821,2,17377.0,2.0
20150821,3,18397.0,2.0
20150824,2,15842.0,2.0
20150824,3,16752.0,2.0
20150825,2,15159.0,2.0
20150825,3,16046.0,2.0
20150826,2,14621.0,2.0
20150826,3,15318.0,2.0
20150827,2,14204.0,2.0
20150827,3,14801.0,2.0
20150828,2,14063.0,2.0
20150828,3,14648.0,2.0
20150831,2,14103.0,2.0
20150831,3,14855.0,2.0
20150901,2,14001.0,2.0
20150901,3,14644.0,2.0
20150902,2,13463.0,2.0
20150902,3,13980.0,2.0
20150907,2,13150.0,2.0
20150907,3,13715.0,2.0
20150908,2,12733.0,2.0
20150908,3,13203.0,2.0
20150909,2,12369.0,2.0
20150909,3,12933.0,2.0
20150910,2,12076.0,2.0
20150910,3,12696.0,2.0
20150911,2,11720.0,2.0
20150911,3,12293.0,2.0
20150914,2,11196.0,1.0
20150914,3,11969.0,1.0
20150915,2,11415.0,1.0
20150915,3,12204.0,1.0
20150916,2,11859.0,1.0
20150916,3,12504.0,1.0
20150917,2,11858.0,1.0
20150917,3,12566.0,1.0
20150918,2,11524.0,1.0
20150918,3,12325.0,1.0
20150921,2,11568.0,1.0
20150921,3,12330.0,1.0
20150922,2,11872.0,1.0
20150922,3,12762.0,1.0
20150923,2,11788.0,1.0
20150923,3,12720.0,1.0
20150924,2,11969.0,1.0
20150924,3,12585.0,1.0
20150925,2,11826.0,1.0
20150925,3,12414.0,1.0
20150928,2,12106.0,1.0
20150928,3,12700.0,1.0
20150929,2,12084.0,1.0
20150929,3,12681.0,1.0
20150930,2,12808.0,1.0
20150930,3,13170.0,1.0
20151008,2,12535.0,1.0
20151008,3,13029.0,1.0
20151009,2,13239.0,1.0
20151009,3,13723.0,1.0
20151012,2,13114.0,1.0
20151012,3,13616.0,1.0
20151013,2,13132.0,1.0
20151013,3,13974.0,1.0
20151014,2,13241.0,1.0
20151014,3,14423.0,1.0
20151015,2,13516.0,1.0
20151015,3,14679.0,1.0
20151016,2,13469.0,1.0
20151016,3,14345.0,1.0
20151019,2,13841.0,1.0
20151019,3,14663.0,1.0
20151020,2,13933.0,1.0
20151020,3,14919.0,1.0
20151021,2,13919.0,1.0
20151021,3,15411.0,1.0
20151022,2,14174.0,1.0
20151022,3,15819.0,1.0
20151023,2,13749.0,1.0
20151023,3,15265.0,1.0
20151026,2,13453.0,1.0
20151026,3,14637.0,1.0
20151027,2,14526.0,1.0
20151027,3,15771.0,1.0
20151028,2,14425.0,1.0
20151028,3,15974.0,1.0
20151029,2,14482.0,1.0
20151029,3,16291.0,1.0
20151030,2,14096.0,1.0
20151030,3,15802.0,1.0
20151102,2,14202.0,1.0
20151102,3,15568.0,1.0
20151103,2,14500.0,1.0
20151103,3,15912.0,1.0
20151104,2,13532.0,1.0
20151104,3,15032.0,1.0
20151105,2,12734.0,1.0
20151105,3,14454.0,1.0
20151106,2,12961.0,1.0
20151106,3,13854.0,1.0
20151109,2,23511.0,2.0
20151109,3,24540.0,2.0
20151110,2,23525.0,2.0
20151110,3,24870.0,2.0
20151111,2,24254.0,2.0
20151111,3,24274.0,2.0
20151112,2,24150.0,2.0
20151112,3,24148.0,2.0
20151113,2,24471.0,2.0
20151113,3,24066.0,2.0
20151116,2,24122.0,2.0
20151116,3,24609.0,2.0
20151117,2,23442.0,2.0
20151117,3,23763.0,2.0
20151118,2,23187.0,2.0
20151118,3,22765.0,2.0
20151119,2,22983.0,2.0
20151119,3,23291.0,2.0
20151120,2,22480.0,2.0
20151120,3,23445.0,2.0
20151123,2,22839.0,2.0
20151123,3,23119.0,2.0
20151124,2,22561.0,2.0
20151124,3,23915.0,2.0
20151125,2,21545.0,2.0
20151125,3,22865.0,2.0
20151126,2,22001.0,2.0
20151126,3,23386.0,2.0
20151127,2,20147.0,2.0
20151127,3,20955.0,2.0
20151130,2,20627.0,2.0
20151130,3,21795.0,2.0
20151201,2,20577.0,2.0
20151201,3,21146.0,2.0
20151202,2,19775.0,2.0
20151202,3,20713.0,2.0
20151203,2,20020.0,2.0
20151203,3,20988.0,2.0
20151204,2,19945.0,2.0
20151204,3,20903.0,2.0
20151207,2,20054.0,2.0
20151207,3,21088.0,2.0
20151208,2,20511.0,2.0
20151208,3,21736.0,2.0
20151209,2,20682.0,2.0
20151209,3,21708.0,2.0
20151210,2,20953.0,2.0
20151210,3,21809.0,2.0
20151211,2,20471.0,2.0
20151211,3,21626.0,2.0
20151214,2,19644.0,1.0
20151214,3,20583.0,1.0
20151215,2,20158.0,1.0
20151215,3,21100.0,1.0
20151216,2,19913.0,1.0
20151216,3,20765.0,1.0
20151217,2,19770.0,1.0
20151217,3,20578.0,1.0
20151218,2,19833.0,1.0
20151218,3,21127.0,1.0
20151221,2,19881.0,1.0
20151221,3,20881.0,1.0
20151222,2,20168.0,1.0
20151222,3,20993.0,1.0
20151223,2,20407.0,1.0
20151223,3,21385.0,1.0
20151224,2,21532.0,1.0
20151224,3,22065.0,1.0
20151225,2,22095.0,1.0
20151225,3,22623.0,1.0
20151228,2,22372.0,1.0
20151228,3,22829.0,1.0
20151229,2,22331.0,1.0
20151229,3,22655.0,1.0
20151230,2,22050.0,1.0
20151230,3,22605.0,1.0
20151231,2,22370.0,1.0
20151231,3,22699.0,1.0
20160104,2,23387.0,1.0
20160104,3,24064.0,1.0
20160105,2,24482.0,1.0
20160105,3,25276.0,1.0
20160106,2,24402.0,1.0
20160106,3,24385.0,1.0
20160107,2,23484.0,1.0
20160107,3,23278.0,1.0
20160108,2,23577.0,1.0
20160108,3,23423.0,1.0
20160111,2,24554.0,1.0
20160111,3,24240.0,1.0
20160112,2,24224.0,1.0
20160112,3,24320.0,1.0
20160113,2,24964.0,1.0
20160113,3,25022.0,1.0
20160114,2,25019.0,1.0
20160114,3,24272.0,1.0
20160115,2,24381.0,1.0
20160115,3,24449.0,1.0
20160118,2,23638.0,1.0
20160118,3,22992.0,1.0
20160119,2,23125.0,1.0
20160119,3,23159.0,1.0
20160120,2,23273.0,1.0
20160120,3,23761.0,1.0
20160121,2,22933.0,1.0
20160121,3,22952.0,1.0
20160122,2,22804.0,1.0
20160122,3,22062.0,1.0
20160125,2,22454.0,1.0
20160125,3,21419.0,1.0
20160126,2,30516.0,2.0
20160126,3,29821.0,2.0
20160127,2,31769.0,2.0
20160127,3,30463.0,2.0
20160128,2,32315.0,2.0
20160128,3,30670.0,2.0
20160129,2,32562.0,2.0
20160129,3,30832.0,2.0
20160201,2,33147.0,2.0
20160201,3,31439.0,2.0
20160202,2,33622.0,2.0
20160202,3,32559.0,2.0
20160203,2,34987.0,2.0
20160203,3,33591.0,2.0
20160204,2,34941.0,2.0
20160204,3,33839.0,2.0
20160205,2,34812.0,2.0
20160205,3,33676.0,2.0
20160215,2,34958.0,2.0
20160215,3,33796.0,2.0
20160216,2,35689.0,2.0
20160216,3,34592.0,2.0
20160217,2,35631.0,2.0
20160217,3,34821.0,2.0
20160218,2,35118.0,2.0
20160218,3,34590.0,2.0
20160219,2,33727.0,2.0
20160219,3,32899.0,2.0
20160222,2,33522.0,2.0
20160222,3,33127.0,2.0
20160223,2,32281.0,2.0
20160223,3,32163.0,2.0
20160224,2,30994.0,2.0
20160224,3,30944.0,2.0
20160225,2,30719.0,2.0
20160225,3,30174.0,2.0
20160226,2,30775.0,2.0
20160226,3,29924.0,2.0
20160229,2,31006.0,2.0
20160229,3,30633.0,2.0
20160301,2,30796.0,2.0
20160301,3,30071.0,2.0
20160302,2,31673.0,2.0
20160302,3,30863.0,2.0
20160303,2,31881.0,2.0
20160303,3,30393.0,2.0
20160304,2,32005.0,2.0
20160304,3,30968.0,2.0
20160307,2,32061.0,2.0
20160307,3,31056.0,2.0
20160308,2,30552.0,2.0
20160308,3,29227.0,2.0
20160309,2,31190.0,2.0
20160309,3,30469.0,2.0
20160310,2,31638.0,2.0
20160310,3,29974.0,2.0
20160311,2,31479.0,2.0
20160311,3,29971.0,2.0
20160314,2,31079.0,1.0
20160314,3,29699.0,1.0
20160315,2,30927.0,1.0
20160315,3,30109.0,1.0
20160316,2,31187.0,1.0
20160316,3,29536.0,1.0
20160317,2,30708.0,1.0
20160317,3,29637.0,1.0
20160318,2,31463.0,1.0
20160318,3,30445.0,1.0
20160321,2,32098.0,1.0
20160321,3,30834.0,1.0
20160322,2,32245.0,1.0
20160322,3,31071.0,1.0
20160323,2,32308.0,1.0
20160323,3,30837.0,1.0
20160324,2,31060.0,1.0
20160324,3,29699.0,1.0
20160325,2,31196.0,1.0
20160325,3,30155.0,1.0
20160328,2,31932.0,1.0
20160328,3,30322.0,1.0
20160329,2,31677.0,1.0
20160329,3,31286.0,1.0
20160330,2,31765.0,1.0
20160330,3,31106.0,1.0
20160331,2,30981.0,1.0
20160331,3,30157.0,1.0
20160401,2,31101.0,1.0
20160401,3,30668.0,1.0
20160405,2,31154.0,1.0
20160405,3,30426.0,1.0
20160406,2,31206.0,1.0
20160406,3,29811.0,1.0
20160407,2,30896.0,1.0
20160407,3,29213.0,1.0
20160408,2,40595.0,2.0
20160408,3,39302.0,2.0
20160411,2,40786.0,2.0
20160411,3,39246.0,2.0
20160412,2,40982.0,2.0
20160412,3,39577.0,2.0
20160413,2,41493.0,2.0
